location,depth,transect,photo,group,successes,failures
north,sh,t2,t2_1,macro,7,93
north,sh,t2,t2_1,non-reef,6,94
north,sh,t2,t2_1,plob,66,34
north,sh,t2,t2_1,poci,1,99
north,sh,t2,t2_1,turf,20,80
north,sh,t2,t2_10,abiotic,0,100
north,sh,t2,t2_10,biotic,0,100
north,sh,t2,t2_10,macro,1,99
north,sh,t2,t2_10,non-reef,2,98
north,sh,t2,t2_10,plob,89,11
north,sh,t2,t2_10,poci,0,100
north,sh,t2,t2_10,turf,8,92
north,sh,t2,t2_11,abiotic,5,95
north,sh,t2,t2_11,biotic,0,100
north,sh,t2,t2_11,macro,6,94
north,sh,t2,t2_11,non-reef,4,96
north,sh,t2,t2_11,plob,84,16
north,sh,t2,t2_11,poci,0,100
north,sh,t2,t2_11,turf,1,99
north,sh,t2,t2_12,abiotic,0,100
north,sh,t2,t2_12,biotic,0,100
north,sh,t2,t2_12,macro,13,87
north,sh,t2,t2_12,non-reef,3,97
north,sh,t2,t2_12,plob,56,44
north,sh,t2,t2_12,poci,0,100
north,sh,t2,t2_12,turf,28,72
north,sh,t2,t2_13,abiotic,0,100
north,sh,t2,t2_13,biotic,0,100
north,sh,t2,t2_13,macro,8,92
north,sh,t2,t2_13,non-reef,13,87
north,sh,t2,t2_13,plob,72,28
north,sh,t2,t2_13,poci,1,99
north,sh,t2,t2_13,turf,6,94
north,sh,t2,t2_13,abiotic,0,100
north,sh,t2,t2_13,macro,0,100
north,sh,t2,t2_13,non-reef,11,89
north,sh,t2,t2_13,plob,78,22
north,sh,t2,t2_13,poci,0,100
north,sh,t2,t2_13,turf,0,100
north,sh,t2,t2_14,turf,11,89
north,sh,t2,t2_15,abiotic,1,99
north,sh,t2,t2_15,macro,12,88
north,sh,t2,t2_15,non-reef,6,94
north,sh,t2,t2_15,plob,69,31
north,sh,t2,t2_15,poci,3,97
north,sh,t2,t2_15,turf,9,91
north,sh,t2,t2_2,macro,4,96
north,sh,t2,t2_2,abiotic,0,100
north,sh,t2,t2_2,biotic,0,100
north,sh,t2,t2_2,macro,0,100
north,sh,t2,t2_2,non-reef,7,93
north,sh,t2,t2_2,plob,85,15
north,sh,t2,t2_2,poci,0,100
north,sh,t2,t2_2,turf,4,96
north,sh,t2,t2_3,abiotic,0,100
north,sh,t2,t2_3,biotic,0,100
north,sh,t2,t2_3,macro,19,81
north,sh,t2,t2_3,non-reef,3,97
north,sh,t2,t2_3,plob,75,25
north,sh,t2,t2_3,poci,0,100
north,sh,t2,t2_3,turf,3,97
north,sh,t2,t2_4,abiotic,0,0
north,sh,t2,t2_4,biotic,0,0
north,sh,t2,t2_4,macro,3,97
north,sh,t2,t2_4,non-reef,5,95
north,sh,t2,t2_4,plob,82,18
north,sh,t2,t2_4,poci,0,0
north,sh,t2,t2_4,turf,10,90
north,sh,t2,t2_5,abiotic,0,0
north,sh,t2,t2_5,biotic,0,0
north,sh,t2,t2_5,macro,9,91
north,sh,t2,t2_5,non-reef,2,98
north,sh,t2,t2_5,plob,89,11
north,sh,t2,t2_5,poci,0,0
north,sh,t2,t2_5,turf,0,0
north,sh,t2,t2_5,abiotic,0,0
north,sh,t2,t2_6,biotic,0,0
north,sh,t2,t2_6,macro,6,94
north,sh,t2,t2_6,non-reef,4,96
north,sh,t2,t2_6,plob,89,11
north,sh,t2,t2_6,poci,0,0
north,sh,t2,t2_6,turf,1,99
north,sh,t2,t2_7,abiotic,5,95
north,sh,t2,t2_7,biotic,0,0
north,sh,t2,t2_7,macro,0,0
north,sh,t2,t2_7,non-reef,2,98
north,sh,t2,t2_7,plob,93,7
north,sh,t2,t2_7,poci,0,0
north,sh,t2,t2_7,turf,0,0
north,sh,t2,t2_8,abiotic,1,99
north,sh,t2,t2_8,biotic,0,100
north,sh,t2,t2_8,macro,2,98
north,sh,t2,t2_8,non-reef,5,95
north,sh,t2,t2_8,plob,89,11
north,sh,t2,t2_8,poci,0,100
north,sh,t2,t2_8,turf,3,97
north,sh,t2,t2_9,abiotic,0,100
north,sh,t2,t2_9,biotic,0,100
north,sh,t2,t2_9,macro,8,92
north,sh,t2,t2_9,non-reef,3,97
north,sh,t2,t2_9,plob,88,12
north,sh,t2,t2_9,poci,0,100
north,sh,t2,t2_9,turf,1,99
north,sh,t3,t3_1,abiotic,0,100
north,sh,t3,t3_1,biotic,0,100
north,sh,t3,t3_1,macro,1,99
north,sh,t3,t3_1,non-reef,9,91
north,sh,t3,t3_1,plob,90,10
north,sh,t3,t3_1,poci,0,100
north,sh,t3,t3_1,turf,0,100
north,sh,t3,t3_10,abiotic,0,100
north,sh,t3,t3_10,biotic,0,100
north,sh,t3,t3_10,macro,8,92
north,sh,t3,t3_10,non-reef,6,94
north,sh,t3,t3_10,plob,49,51
north,sh,t3,t3_10,poci,1,99
north,sh,t3,t3_10,turf,36,64
north,sh,t3,t3_11,abiotic,0,100
north,sh,t3,t3_11,biotic,0,100
north,sh,t3,t3_11,macro,12,88
north,sh,t3,t3_11,non-reef,7,93
north,sh,t3,t3_11,plob,25,75
north,sh,t3,t3_11,poci,1,99
north,sh,t3,t3_11,turf,55,45
north,sh,t3,t3_12,abiotic,0,100
north,sh,t3,t3_12,biotic,0,100
north,sh,t3,t3_12,macro,13,87
north,sh,t3,t3_12,non-reef,4,96
north,sh,t3,t3_12,plob,75,25
north,sh,t3,t3_12,poci,0,100
north,sh,t3,t3_12,turf,8,92
north,sh,t3,t3_13,abiotic,0,100
north,sh,t3,t3_13,biotic,0,100
north,sh,t3,t3_13,macro,6,94
north,sh,t3,t3_13,non-reef,2,98
north,sh,t3,t3_13,plob,73,27
north,sh,t3,t3_13,poci,0,100
north,sh,t3,t3_13,turf,19,81
north,sh,t3,t3_14,abiotic,0,100
north,sh,t3,t3_14,biotic,0,100
north,sh,t3,t3_14,macro,6,94
north,sh,t3,t3_14,non-reef,3,97
north,sh,t3,t3_14,plob,86,14
north,sh,t3,t3_14,poci,0,100
north,sh,t3,t3_14,turf,5,95
north,sh,t3,t3_15,abiotic,0,100
north,sh,t3,t3_15,biotic,0,100
north,sh,t3,t3_15,macro,6,94
north,sh,t3,t3_15,non-reef,9,91
north,sh,t3,t3_15,plob,81,19
north,sh,t3,t3_15,poci,0,100
north,sh,t3,t3_15,turf,4,96
north,sh,t3,t3_2,abiotic,0,100
north,sh,t3,t3_2,biotic,0,100
north,sh,t3,t3_2,macro,2,98
north,sh,t3,t3_2,non-reef,7,93
north,sh,t3,t3_2,plob,91,9
north,sh,t3,t3_2,poci,0,100
north,sh,t3,t3_2,turf,0,100
north,sh,t3,t3_3,abiotic,0,100
north,sh,t3,t3_3,biotic,0,100
north,sh,t3,t3_3,macro,4,96
north,sh,t3,t3_3,non-reef,6,94
north,sh,t3,t3_3,plob,77,23
north,sh,t3,t3_3,poci,0,100
north,sh,t3,t3_3,turf,13,87
north,sh,t3,t3_4,abiotic,0,0
north,sh,t3,t3_4,biotic,0,0
north,sh,t3,t3_4,macro,5,95
north,sh,t3,t3_4,non-reef,7,93
north,sh,t3,t3_4,plob,77,23
north,sh,t3,t3_4,poci,0,0
north,sh,t3,t3_4,turf,11,89
north,sh,t3,t3_5,abiotic,0,0
north,sh,t3,t3_5,biotic,0,0
north,sh,t3,t3_5,macro,3,97
north,sh,t3,t3_5,non-reef,5,95
north,sh,t3,t3_5,plob,84,16
north,sh,t3,t3_5,poci,1,99
north,sh,t3,t3_5,turf,7,93
north,sh,t3,t3_6,abiotic,0,0
north,sh,t3,t3_6,biotic,0,0
north,sh,t3,t3_6,macro,1,99
north,sh,t3,t3_6,non-reef,2,98
north,sh,t3,t3_6,plob,88,12
north,sh,t3,t3_6,poci,0,0
north,sh,t3,t3_6,turf,9,91
north,sh,t3,t3_7,abiotic,0,0
north,sh,t3,t3_7,biotic,1,99
north,sh,t3,t3_7,macro,2,98
north,sh,t3,t3_7,non-reef,8,92
north,sh,t3,t3_7,plob,68,32
north,sh,t3,t3_7,poci,3,97
north,sh,t3,t3_7,turf,18,82
north,sh,t3,t3_8,abiotic,0,0
north,sh,t3,t3_8,biotic,0,0
north,sh,t3,t3_8,macro,4,96
north,sh,t3,t3_8,non-reef,7,93
north,sh,t3,t3_8,plob,51,49
north,sh,t3,t3_8,poci,2,98
north,sh,t3,t3_8,turf,36,64
north,sh,t3,t3_9,abiotic,0,0
north,sh,t3,t3_9,biotic,0,0
north,sh,t3,t3_9,macro,7,93
north,sh,t3,t3_9,non-reef,8,92
north,sh,t3,t3_9,plob,80,20
north,sh,t3,t3_9,poci,0,0
north,sh,t3,t3_9,turf,5,95
north,sh,t4,t4_1,abiotic,0,0
north,sh,t4,t4_1,biotic,0,0
north,sh,t4,t4_1,macro,6,94
north,sh,t4,t4_1,non-reef,6,94
north,sh,t4,t4_1,plob,79,21
north,sh,t4,t4_1,poci,1,99
north,sh,t4,t4_1,turf,8,92
north,sh,t4,t4_10,abiotic,2,98
north,sh,t4,t4_10,biotic,0,0
north,sh,t4,t4_10,macro,4,96
north,sh,t4,t4_10,non-reef,7,93
north,sh,t4,t4_10,plob,72,28
north,sh,t4,t4_10,poci,0,0
north,sh,t4,t4_10,turf,15,85
north,sh,t4,t4_11,abiotic,66,34
north,sh,t4,t4_11,biotic,0,0
north,sh,t4,t4_11,macro,2,98
north,sh,t4,t4_11,non-reef,2,98
north,sh,t4,t4_11,plob,23,77
north,sh,t4,t4_11,poci,0,0
north,sh,t4,t4_11,turf,7,93
north,sh,t4,t4_12,abiotic,14,86
north,sh,t4,t4_12,biotic,0,0
north,sh,t4,t4_12,macro,7,93
north,sh,t4,t4_12,non-reef,7,93
north,sh,t4,t4_12,plob,43,57
north,sh,t4,t4_12,poci,0,0
north,sh,t4,t4_12,turf,29,71
north,sh,t4,t4_13,abiotic,11,89
north,sh,t4,t4_13,biotic,0,0
north,sh,t4,t4_13,macro,4,96
north,sh,t4,t4_13,non-reef,4,96
north,sh,t4,t4_13,plob,64,36
north,sh,t4,t4_13,poci,0,0
north,sh,t4,t4_13,turf,17,83
north,sh,t4,t4_14,abiotic,3,97
north,sh,t4,t4_14,biotic,0,0
north,sh,t4,t4_14,macro,3,97
north,sh,t4,t4_14,non-reef,3,97
north,sh,t4,t4_14,plob,84,16
north,sh,t4,t4_14,poci,0,0
north,sh,t4,t4_14,turf,7,93
north,sh,t4,t4_15,abiotic,0,0
north,sh,t4,t4_15,biotic,0,0
north,sh,t4,t4_15,macro,6,94
north,sh,t4,t4_15,non-reef,9,91
north,sh,t4,t4_15,plob,81,19
north,sh,t4,t4_15,poci,0,0
north,sh,t4,t4_15,turf,4,96
north,sh,t4,t4_2,abiotic,16,84
north,sh,t4,t4_2,biotic,0,0
north,sh,t4,t4_2,macro,1,99
north,sh,t4,t4_2,non-reef,3,97
north,sh,t4,t4_2,plob,75,25
north,sh,t4,t4_2,poci,5,95
north,sh,t4,t4_2,turf,0,0
north,sh,t4,t4_3,abiotic,12,88
north,sh,t4,t4_3,biotic,0,0
north,sh,t4,t4_3,macro,1,99
north,sh,t4,t4_3,non-reef,8,92
north,sh,t4,t4_3,plob,73,27
north,sh,t4,t4_3,poci,3,97
north,sh,t4,t4_3,turf,3,97
north,sh,t4,t4_4,abiotic,0,0
north,sh,t4,t4_4,biotic,0,0
north,sh,t4,t4_4,macro,0,0
north,sh,t4,t4_4,non-reef,5,95
north,sh,t4,t4_4,plob,88,12
north,sh,t4,t4_4,poci,4,96
north,sh,t4,t4_4,turf,3,97
north,sh,t4,t4_5,abiotic,0,0
north,sh,t4,t4_5,biotic,0,0
north,sh,t4,t4_5,macro,4,96
north,sh,t4,t4_5,non-reef,8,92
north,sh,t4,t4_5,plob,83,17
north,sh,t4,t4_5,poci,0,0
north,sh,t4,t4_5,turf,5,95
north,sh,t4,t4_6,abiotic,0,0
north,sh,t4,t4_6,biotic,0,0
north,sh,t4,t4_6,macro,2,98
north,sh,t4,t4_6,non-reef,2,98
north,sh,t4,t4_6,plob,92,8
north,sh,t4,t4_6,poci,0,0
north,sh,t4,t4_6,turf,4,96
north,sh,t4,t4_7,abiotic,0,0
north,sh,t4,t4_7,biotic,0,0
north,sh,t4,t4_7,macro,4,96
north,sh,t4,t4_7,non-reef,6,94
north,sh,t4,t4_7,plob,86,14
north,sh,t4,t4_7,poci,0,0
north,sh,t4,t4_7,turf,4,96
north,sh,t4,t4_8,abiotic,0,0
north,sh,t4,t4_8,biotic,0,0
north,sh,t4,t4_8,macro,11,89
north,sh,t4,t4_8,non-reef,7,93
north,sh,t4,t4_8,plob,74,26
north,sh,t4,t4_8,poci,0,0
north,sh,t4,t4_8,turf,8,92
north,sh,t4,t4_9,abiotic,0,0
north,sh,t4,t4_9,biotic,0,0
north,sh,t4,t4_9,macro,10,90
north,sh,t4,t4_9,non-reef,6,94
north,sh,t4,t4_9,plob,79,21
north,sh,t4,t4_9,poci,1,99
north,sh,t4,t4_9,turf,4,96
